Identifier,Maturity,Physiological Condition,Tree Set To Be Removed,Removal Reason,Capital Asset Value For Amenity Trees,Carbon Storage In Kilograms,Gross Carbon Sequestration Per Year In Kilograms,Pollution Removal Per Year In Grams
55125,Juvenile,Good,No,,115.07,1.6,0.5,5.7
59429,Middle aged,Fair,No,,7518.08,,,
18254,Mature,Fair,No,,20419.63,426.4,8.8,215.2
27155,Mature,Fair,No,,21447.74,448.3,9.6,379.1
41326,Juvenile,Good,No,,524.3,9.9,1.4,12.8
5354,Middle aged,Fair,No,,14619.98,381.9,10.1,223.6
40482,Middle aged,Good,No,,0,,,
47953,Middle aged,Fair,No,,194.18,4.3,0.8,12.6
4274,Mature,Fair,No,,16681.57,351.7,7.9,40.2
3481,Mature,Fair,No,,51740.6,1639.6,24.2,652.3
51230,Middle aged,Fair,No,,2078.5,33.4,2.4,28.7
49782,Juvenile,Good,No,,258.91,4.3,0.9,3.5
49480,Middle aged,Not applicable,No,,2494.19,49.9,3,18.9
58554,Juvenile,Good,No,,115.07,,,
1738,Mature,Good,No,,47971.79,840.2,14.6,899
11398,Mature,Fair,No,,9692.95,295.9,8.1,85.3
10503,Middle aged,Fair,No,,1268.68,70.1,4.1,63.4
10824,Mature,Good,No,,2494.19,32.3,1.8,50.2
57336,Juvenile,Good,No,,528.62,,,
11711,Mature,Good,No,,58031.12,1306.5,18.8,559.6
17355,Mature,Good,No,,35953.35,1382.4,24.4,428
3793,Mature,Good,No,,17873.12,497.3,13.4,327.2
59602,,,No,,,,,
17471,Middle aged,Good,No,,10485.99,160.6,4.3,385.5
50476,Mature,Poor,No,,5825.55,179.1,6.5,60.8
57509,Juvenile,Good,No,,153.43,,,
35019,Mature,Fair,No,,6291.6,,,
53208,Juvenile,Good,No,,783.21,8.4,1.3,23.6
51161,Juvenile,Good,No,,239.74,2.4,0.6,11.6
46030,Middle aged,Good,No,,3568.15,35.5,2.5,42.5
2526,Mature,Fair,No,,18706.49,583,13.1,206.7
7729,Mature,Good,No,,2589.13,67.9,4.1,32.9
37337,Middle aged,Good,No,,1879.52,22.4,2.1,24.7
57200,Juvenile,Good,No,,172.61,1.4,0.5,3.2
